genus,species,score
Chrysanthemum,cenerasiafolium,2.5567600736346902e-05
Chrysanthemum,leucanthemum,2.5567600736346902e-05
Chrysothamnus,bloomeri,2.5567600736346902e-05
Chrysothamnus,humilis,0.00012163628110387019
Chrysothamnus,viscidiflorus,0.0019210959975299907
Cichorium,endiva,2.5567600736346902e-05
Cichorium,intybus,0.005481788440062573
Cirsium,andersonii,0.00022575758690385555
Cirsium,andrewsii,2.6272462955827234e-05
Cirsium,arvense,0.017296916625416044
Cirsium,brevifolium,0.00010829974713915319
Cirsium,brevistylum,0.0015015741255651094
Cirsium,ciliolatum,0.0006952059928593038
Cirsium,clavatum,3.309285856112251e-05
Cirsium,cymosum,0.0007444270238571352
Cirsium,douglasii,0.000844633572121796
Cirsium,edule,0.0025456398983165693
Cirsium,inamoenum,0.00011679355098725236
Cirsium,neomexicanum,2.5303916932503665e-05
Cirsium,occidentale,0.0016494867972990685
Cirsium,ochrocentrum,0.00020142221599467544
Cirsium,quercetorum,0.00021893719129856027
Cirsium,remotifolium,0.005829012054251837
Cirsium,scariosum,0.0009850639365798766
Cirsium,undulatum,0.00047928457875466785
Cirsium,vulgare,0.02595578041178412
Cladanthus,mixtus,3.309285856112251e-05
Columbiadoria,hallii,0.0013250742828470289
Conyza,bonariensis,0.00027509364585978527
Conyza,canadensis,0.007474559066951531
Conyza,floribunda,4.963928784168377e-05
Coreopsis,grandiflora,0.00010227040294538761
Coreopsis,lanceolata,0.0001487515558090608
Coreopsis,rosea,3.895589503889758e-05
Coreopsis,tinctoria,0.000777470178800663
Coreopsis,verticillata,2.5567600736346902e-05
Corethrogyne,filaginifolia,0.0012553816533112366
Cosmos,bipinnatus,0.00010227040294538761
Cosmos,sulphureus,2.5567600736346902e-05
Cota,tinctoria,0.000254180093732459
Cotula,australis,0.00027055414462892147
Cotula,coronopifolia,0.003336451493196624
Cotula,intermedia,2.5567600736346902e-05
Crepis,acuminata,0.0010821983788652624
Crepis,atribarba,0.00039540639171674417
Crepis,bakeri,0.0005858642735408786
Crepis,barbigera,0.00041964438653807157
Crepis,biennis,2.5567600736346902e-05
Crepis,capillaris,0.00671962962363028
Crepis,gracilis,2.5567600736346902e-05
Crepis,intermedia,0.0008157951855562068
Crepis,modocensis,0.0005524276126519718
Crepis,monticola,0.0006286425923352367
Crepis,nana,0.00040908161178155044
Crepis,nicaeensis,0.00018018219302318275
Crepis,occidentalis,0.002345995614027582
Crepis,pleurocarpa,0.001899894491280289
Crepis,pulchra,0.0001382344707222651
Crepis,runcinata,0.00010927948005828011
Crepis,setosa,0.001706385855627837
Crepis,tectorum,9.298554768575872e-05
Crepis,vesicaria,0.00035757329535455166
Crocidium,multicaule,0.003884847504467424
Crocidium,pugetense,2.5567600736346902e-05
Crupina,vulgaris,0.00014887729008302098
Cyclachaena,xanthiifolia,0.00013536326150651013
Cynara,cardunculus,9.492263973240585e-05
Deinandra,corymbosa,0.00014887729008302098
Deinandra,kelloggii,8.757487651942411e-06
Deinandra,lobbii,0.00011384733947525135
Delairea,odorata,0.0025825532585333245
Dieteria,canescens,0.0027126704334748805
Dimeresia,howellii,0.0005634254212363154
Dittrichia,graveolens,0.00010508985182330893
Doronicum,pardalianches,0.0003412793629820303
Doronicum,plantagineum,1.6546429280561253e-05
Eatonella,nivea,5.839677549362618e-05
Echinacea,purpurea,2.5567600736346902e-05
Echinops,exaltatus,2.5567600736346902e-05
Echinops,sphaerocephalus,3.432508838828932e-05
Eclipta,prostrata,1.6546429280561253e-05
Erechtites,glomeratus,0.0002993316406811126
Erechtites,hieraciifolius,0.00010227040294538761
Erechtites,minimus,0.0012680000207397255
Ericameria,arborescens,0.00047785058399717537
Ericameria,bloomeri,0.002852091284161273
Ericameria,cuneata,1.7514975303884822e-05
Ericameria,discoidea,0.00017083439052991686
Ericameria,greenei,0.0018416124233581338
Ericameria,linearifolia,0.00013136231477913615
Ericameria,nauseosa,0.008259959017151467
Ericameria,ophitidis,0.0006480540862437384
Ericameria,parryi,0.0003327845307738116
Ericameria,pinifolia,8.757487651942411e-06
Ericameria,resinosa,0.000254180093732459
Ericameria,suffruticosa,0.00010051080551053433
Erigeron,acris,0.0003639757545026222
Erigeron,aliceae,0.00419524730152794
Erigeron,annuus,0.0008137944383024309
Erigeron,aphanactis,5.254492591165447e-05
Erigeron,aureus,0.0006813040484255807
Erigeron,biolettii,0.00027148211721021476
Erigeron,blochmaniae,1.6546429280561253e-05
Erigeron,bloomeri,0.0019345763052257775
Erigeron,bonariensis,2.6272462955827234e-05
Erigeron,caespitosus,1.6546429280561253e-05
Erigeron,canadensis,0.0004028444319893509
Erigeron,cascadensis,0.0008453036179001966
Erigeron,cervinus,0.0009838254019715813
Erigeron,chrysopsidis,0.00028318581637415814
Erigeron,ciliolatus,2.5567600736346902e-05
Erigeron,compositus,0.0027485630702502434
Erigeron,concinnus,4.308257604023173e-05
Erigeron,corymbosus,0.00019402372080397953
Erigeron,coulteri,8.660633049610054e-05
Erigeron,decumbens,0.0009131816508891608
Erigeron,divergens,0.000694713762079325
Erigeron,eatonii,0.0013538875374268116
Erigeron,elegantulus,0.000540099169792489
Erigeron,filifolius,0.0012751683928139883
Erigeron,flagellaris,2.5567600736346902e-05
Erigeron,flettii,0.0003323788095725097
Erigeron,foliosus,0.004062588621134567
Erigeron,glabellus,2.5567600736346902e-05
Erigeron,glacialis,0.004493005847075109
Erigeron,glaucus,0.0017918024934659629
Erigeron,greenei,0.00017514975303884822
Erigeron,howellii,0.0005579994753066018
Erigeron,inornatus,0.0019325174928530395
Erigeron,karvinskianus,0.0001363318075298337
Erigeron,klamathensis,0.0006091905249847048
Erigeron,lanatus,2.5567600736346902e-05
Erigeron,lassenianus,0.000341542018425754
Erigeron,linearis,0.001360393443330843
Erigeron,lonchophyllus,0.00016546429280561256
Erigeron,maniopotamicus,0.00011384733947525135
Erigeron,nauseosus,2.5567600736346902e-05
Erigeron,nivalis,0.0013031272735156416
Erigeron,oreganus,0.0004963471887471122
Erigeron,peregrinus,0.0010979109180319067
Erigeron,petrophilus,0.001329252791386433
Erigeron,philadelphicus,0.004059253484258667
Erigeron,poliospermus,0.0004450456795584279
Erigeron,pumilus,0.0008558859343344185
Erigeron,reductus,0.0002452096542543875
Erigeron,robustior,0.00013136231477913615
Erigeron,salishii,2.5567600736346902e-05
Erigeron,salsuginosus,0.0007835744513709684
Erigeron,scaposus,2.5567600736346902e-05
Erigeron,serpentinus,0.00010508985182330893
Erigeron,speciosus,0.0014256813686651213
Erigeron,stanselliae,6.618571712224501e-05
Erigeron,strigosus,0.0015341292977895478
Erigeron,subtrinervis,0.0003068112088361628
Erigeron,suksdorfii,2.5567600736346902e-05
Erigeron,sumatrensis,3.5029950607769645e-05
